p1,score1,p2,score2,date
Gregi,12,Brina,10,2025-06-13
Gregi,13,Tomi,15,2025-06-13
Gregi,12,Brina,10,2025-06-13
Gregi,9,Tomi,11,2025-06-13
Gregi,7,Tomi,11,2025-06-13
Gregi,11,Tomi,6,2025-06-13
Gregi,13,Tomi,11,2025-06-13
Gregi,4,Brina,11,2025-06-13
Gregi,11,Brina,9,2025-06-13
Gregi,9,Brina,11,2025-06-13
Brina,12,Tomi,10,2025-06-13
Gregi,7,Brina,11,2025-06-13
Brina,11,Gregi,5,2025-06-13
Gregi,11,Brina,7,2025-06-13
Gregi,12,Brina,14,2025-06-13
Brina,11,Tomi,5,2025-06-13
Brina,3,Tomi,11,2025-06-13
Gregi,11,Brina,9,2025-06-13
